4	383.333333
4.02	393.333333
4.04	353.333333
4.06	388.333333
4.08	373.333333
4.1	350
4.12	376.666667
4.14	348.333333
4.16	330
4.18	348.333333
4.2	395
4.22	375
4.24	346.666667
4.26	331.666667
4.28	365
4.3	405
4.32	358.333333
4.34	336.666667
4.36	415
4.38	368.333333
4.4	321.666667
4.42	373.333333
4.44	333.333333
4.46	300
4.48	345
4.5	330
4.52	348.333333
4.54	365
4.56	310
4.58	330
4.6	286.666667
4.62	293.333333
4.64	341.666667
4.66	336.666667
4.68	331.666667
4.7	350
4.72	320
4.74	393.333333
4.76	300
4.78	345
4.8	310
4.82	345
4.84	338.333333
4.86	328.333333
4.88	330
4.9	336.666667
4.92	351.666667
4.94	326.666667
4.96	370
4.98	320
5	301.666667
5.02	291.666667
5.04	293.333333
5.06	328.333333
5.08	293.333333
5.1	326.666667
5.12	298.333333
5.14	295
5.16	286.666667
5.18	293.333333
5.2	281.666667
5.22	263.333333
5.24	241.666667
5.26	296.666667
5.28	280
5.3	305
5.32	291.666667
5.34	290
5.36	280
5.38	281.666667
5.4	285
5.42	286.666667
5.44	263.333333
5.46	243.333333
5.48	261.666667
5.5	278.333333
5.52	303.333333
5.54	291.666667
5.56	260
5.58	273.333333
5.6	290
5.62	325
5.64	275
5.66	280
5.68	278.333333
5.7	291.666667
5.72	315
5.74	311.666667
5.76	246.666667
5.78	326.666667
5.8	293.333333
5.82	285
5.84	288.333333
5.86	293.333333
5.88	321.666667
5.9	310
5.92	308.333333
5.94	301.666667
5.96	290
5.98	255
6	251.666667
6.02	248.333333
6.04	230
6.06	256.666667
6.08	231.666667
6.1	253.333333
6.12	240
6.14	238.333333
6.16	241.666667
6.18	261.666667
6.2	255
6.22	261.666667
6.24	278.333333
6.26	211.666667
6.28	263.333333
6.3	238.333333
6.32	236.666667
6.34	218.333333
6.36	265
6.38	225
6.4	243.333333
6.42	246.666667
6.44	233.333333
6.46	238.333333
6.48	250
6.5	241.666667
6.52	255
6.54	235
6.56	213.333333
6.58	231.666667
6.6	215
6.62	236.666667
6.64	203.333333
6.66	223.333333
6.68	241.666667
6.7	223.333333
6.72	223.333333
6.74	211.666667
6.76	230
6.78	205
6.8	236.666667
6.82	223.333333
6.84	233.333333
6.86	208.333333
6.88	216.666667
6.9	190
6.92	216.666667
6.94	191.666667
6.96	225
6.98	216.666667
7	223.333333
7.02	231.666667
7.04	203.333333
7.06	213.333333
7.08	245
7.1	221.666667
7.12	203.333333
7.14	201.666667
7.16	226.666667
7.18	210
7.2	195
7.22	221.666667
7.24	203.333333
7.26	201.666667
7.28	191.666667
7.3	201.666667
7.32	211.666667
7.34	218.333333
7.36	216.666667
7.38	211.666667
7.4	181.666667
7.42	163.333333
7.44	190
7.46	210
7.48	223.333333
7.5	215
7.52	245
7.54	196.666667
7.56	206.666667
7.58	241.666667
7.6	231.666667
7.62	183.333333
7.64	183.333333
7.66	213.333333
7.68	188.333333
7.7	153.333333
7.72	201.666667
7.74	235
7.76	178.333333
7.78	195
7.8	211.666667
7.82	193.333333
7.84	181.666667
7.86	191.666667
7.88	176.666667
7.9	193.333333
7.92	180
7.94	213.333333
7.96	186.666667
7.98	191.666667
8	196.666667
8.02	208.333333
8.04	196.666667
8.06	225
8.08	183.333333
8.1	188.333333
8.12	228.333333
8.14	193.333333
8.16	200
8.18	171.666667
8.2	188.333333
8.22	175
8.24	216.666667
8.26	173.333333
8.28	148.333333
8.3	195
8.32	228.333333
8.34	195
8.36	176.666667
8.38	158.333333
8.4	171.666667
8.42	180
8.44	221.666667
8.46	195
8.48	200
8.5	161.666667
8.52	210
8.54	190
8.56	171.666667
8.58	203.333333
8.6	191.666667
8.62	175
8.64	185
8.66	150
8.68	213.333333
8.7	155
8.72	176.666667
8.74	170
8.76	181.666667
8.78	163.333333
8.8	180
8.82	163.333333
8.84	170
8.86	185
8.88	186.666667
8.9	175
8.92	191.666667
8.94	180
8.96	135
8.98	170
9	205
9.02	190
9.04	165
9.06	156.666667
9.08	153.333333
9.1	190
9.12	161.666667
9.14	203.333333
9.16	173.333333
9.18	168.333333
9.2	161.666667
9.22	161.666667
9.24	148.333333
9.26	130
9.28	175
9.3	151.666667
9.32	176.666667
9.34	158.333333
9.36	145
9.38	143.333333
9.4	153.333333
9.42	155
9.44	136.666667
9.46	166.666667
9.48	168.333333
9.5	165
9.52	158.333333
9.54	163.333333
9.56	180
9.58	150
9.6	136.666667
9.62	210
9.64	158.333333
9.66	170
9.68	165
9.7	173.333333
9.72	141.666667
9.74	163.333333
9.76	176.666667
9.78	141.666667
9.8	161.666667
9.82	120
9.84	181.666667
9.86	161.666667
9.88	165
9.9	146.666667
9.92	123.333333
9.94	163.333333
9.96	150
9.98	160
10	176.666667
