Fixed/Offset Slit,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,
Detector,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,

250.00,0.00000000E+0,3.98340259E+3,3.98340259E+3,1.99170129E+3,6.97095410E+3,3.98340259E+3,3.98340259E+3,4.97925293E+3,8.96265527E+3,1.99170129E+3,9.95850586E+3,4.97925293E+3,8.96265527E+3,9.95850647E+2,4.97925293E+3,3.98340259E+3,6.97095410E+3,3.98340259E+3,3.98340259E+3,6.97095410E+3,3.98340259E+3,1.99170129E+3,8.96265527E+3,3.98340259E+3,9.95850647E+2,1.99170129E+3,2.98755176E+3,3.98340259E+3,1.99170129E+3,0.00000000E+0,1.99170129E+3,4.97925293E+3,
251.00,2.99297217E+3,3.99062939E+3,3.99062939E+3,5.98594434E+3,8.97891602E+3,9.97657349E+2,2.99297217E+3,2.99297217E+3,2.99297217E+3,4.98828662E+3,0.00000000E+0,5.98594434E+3,2.99297217E+3,3.99062939E+3,4.98828662E+3,4.98828662E+3,4.98828662E+3,1.99531470E+3,3.99062939E+3,1.99531470E+3,5.98594434E+3,4.98828662E+3,2.99297217E+3,0.00000000E+0,0.00000000E+0,1.99531470E+3,1.99531470E+3,9.97657349E+2,2.99297217E+3,5.98594434E+3,2.99297217E+3,0.00000000E+0,
252.00,2.00283398E+3,3.00425098E+3,0.00000000E+0,1.00141699E+4,3.00425098E+3,3.00425098E+3,3.00425098E+3,5.00708496E+3,3.00425098E+3,5.00708496E+3,4.00566797E+3,6.00850195E+3,2.00283398E+3,2.00283398E+3,1.00141699E+3,3.00425098E+3,6.00850195E+3,1.00141699E+3,0.00000000E+0,2.00283398E+3,3.00425098E+3,2.00283398E+3,3.00425098E+3,4.00566797E+3,1.00141699E+3,4.00566797E+3,5.00708496E+3,1.00141699E+3,3.00425098E+3,1.00141699E+3,1.00141699E+3,3.00425098E+3,
253.00,1.00778503E+3,3.02335522E+3,3.02335522E+3,5.03892529E+3,4.03114014E+3,6.04671045E+3,3.02335522E+3,7.05449561E+3,3.02335522E+3,1.00778503E+3,1.00778503E+3,4.03114014E+3,3.02335522E+3,3.02335522E+3,4.03114014E+3,8.06228027E+3,8.06228027E+3,5.03892529E+3,1.00778503E+3,1.00778503E+3,1.00778503E+3,5.03892529E+3,5.03892529E+3,4.03114014E+3,1.00778503E+3,4.03114014E+3,3.02335522E+3,3.02335522E+3,0.00000000E+0,1.00778503E+3,6.04671045E+3,2.01557007E+3,
254.00,1.01669666E+3,3.05008984E+3,0.00000000E+0,3.05008984E+3,1.01669666E+3,4.06678662E+3,2.03339331E+3,4.06678662E+3,5.08348291E+3,4.06678662E+3,2.03339331E+3,5.08348291E+3,2.03339331E+3,2.03339331E+3,6.10017969E+3,4.06678662E+3,4.06678662E+3,3.05008984E+3,1.01669666E+3,1.01669666E+3,3.05008984E+3,4.06678662E+3,3.05008984E+3,2.03339331E+3,1.01669666E+3,4.06678662E+3,3.05008984E+3,3.05008984E+3,6.10017969E+3,1.01669666E+3,2.03339331E+3,3.05008984E+3,
255.00,2.05271802E+3,2.05271802E+3,3.07907715E+3,2.05271802E+3,3.07907715E+3,5.13179541E+3,7.18451318E+3,5.13179541E+3,0.00000000E+0,4.10543604E+3,1.02635901E+3,5.13179541E+3,2.05271802E+3,6.15815430E+3,3.07907715E+3,2.05271802E+3,2.05271802E+3,2.05271802E+3,2.05271802E+3,1.02635901E+3,1.02635901E+3,1.02635901E+3,2.05271802E+3,2.05271802E+3,2.05271802E+3,3.07907715E+3,2.05271802E+3,0.00000000E+0,6.15815430E+3,5.13179541E+3,2.05271802E+3,3.07907715E+3,
256.00,5.15962061E+3,3.09577246E+3,4.12769629E+3,4.12769629E+3,4.12769629E+3,5.15962061E+3,4.12769629E+3,1.03192407E+3,4.12769629E+3,1.03192407E+3,1.03192407E+3,7.22346875E+3,4.12769629E+3,8.25539258E+3,4.12769629E+3,0.00000000E+0,3.09577246E+3,2.06384814E+3,2.06384814E+3,2.06384814E+3,4.12769629E+3,2.06384814E+3,5.15962061E+3,1.03192407E+3,3.09577246E+3,2.06384814E+3,4.12769629E+3,1.03192407E+3,0.00000000E+0,0.00000000E+0,2.06384814E+3,2.06384814E+3,
257.00,2.04803662E+3,7.16812842E+3,7.16812842E+3,4.09607324E+3,5.12009180E+3,5.12009180E+3,5.12009180E+3,2.04803662E+3,2.04803662E+3,1.02401831E+3,8.19214648E+3,9.21616504E+3,3.07205493E+3,6.14410986E+3,6.14410986E+3,5.12009180E+3,4.09607324E+3,2.04803662E+3,7.16812842E+3,4.09607324E+3,8.19214648E+3,2.04803662E+3,1.22882197E+4,4.09607324E+3,0.00000000E+0,1.02401831E+3,1.02401831E+3,4.09607324E+3,2.04803662E+3,3.07205493E+3,2.04803662E+3,4.09607324E+3,
258.00,2.96685840E+3,2.96685840E+3,9.88952820E+2,0.00000000E+0,1.97790564E+3,4.94476416E+3,3.95581128E+3,9.88952820E+2,0.00000000E+0,1.97790564E+3,9.88952820E+2,2.96685840E+3,2.96685840E+3,9.88952820E+2,2.96685840E+3,9.88952820E+2,2.96685840E+3,9.88952820E+2,0.00000000E+0,2.96685840E+3,1.97790564E+3,1.97790564E+3,9.88952820E+2,9.88952820E+2,3.95581128E+3,0.00000000E+0,9.88952820E+2,1.97790564E+3,4.94476416E+3,1.97790564E+3,0.00000000E+0,1.97790564E+3,
259.00,2.74283325E+3,2.74283325E+3,8.22850000E+3,4.57138867E+3,2.74283325E+3,1.82855542E+3,2.74283325E+3,2.74283325E+3,9.14277710E+2,5.48566650E+3,2.74283325E+3,4.57138867E+3,9.14277710E+2,2.74283325E+3,5.48566650E+3,3.65711084E+3,2.74283325E+3,1.82855542E+3,9.14277710E+2,1.82855542E+3,9.14277710E+2,2.74283325E+3,9.14277710E+2,2.74283325E+3,1.82855542E+3,1.82855542E+3,1.82855542E+3,1.82855542E+3,1.82855542E+3,3.65711084E+3,1.82855542E+3,2.74283325E+3,
