Fixed/Offset Slit,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,0.010012092,
Detector,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,PMT-980,

345.00,2.82031608E+0,0.00000000E+0,2.82031608E+0,8.46094799E+0,0.00000000E+0,0.00000000E+0,8.46094799E+0,8.46094799E+0,2.82031608E+0,8.46094799E+0,5.64063215E+0,5.64063215E+0,2.82031612E+1,0.00000000E+0,5.64063215E+0,5.64063215E+0,5.64063215E+0,2.82031608E+0,0.00000000E+0,1.12812643E+1,2.82031608E+0,5.64063215E+0,0.00000000E+0,2.82031608E+0,8.46094799E+0,5.64063215E+0,5.64063215E+0,1.12812643E+1,8.46094799E+0,1.12812643E+1,1.12812643E+1,0.00000000E+0,
346.00,2.67527628E+0,8.02582932E+0,5.35055256E+0,1.60516586E+1,2.67527628E+0,2.67527628E+0,2.67527628E+0,0.00000000E+0,8.02582932E+0,5.35055256E+0,1.87269344E+1,0.00000000E+0,8.02582932E+0,2.67527628E+0,5.35055256E+0,8.02582932E+0,1.60516586E+1,1.33763819E+1,5.35055256E+0,8.02582932E+0,5.35055256E+0,0.00000000E+0,5.35055256E+0,5.35055256E+0,5.35055256E+0,1.07011051E+1,2.67527628E+0,5.35055256E+0,2.67527628E+0,1.33763819E+1,1.07011051E+1,8.02582932E+0,
347.00,1.01307430E+1,5.06537151E+0,2.53268576E+0,5.06537151E+0,0.00000000E+0,1.26634293E+1,5.06537151E+0,5.06537151E+0,5.06537151E+0,5.06537151E+0,1.01307430E+1,7.59805727E+0,2.53268576E+0,1.01307430E+1,2.53268576E+0,5.06537151E+0,7.59805727E+0,1.51961145E+1,5.06537151E+0,0.00000000E+0,0.00000000E+0,2.53268576E+0,0.00000000E+0,0.00000000E+0,7.59805727E+0,7.59805727E+0,2.53268576E+0,0.00000000E+0,2.53268576E+0,7.59805727E+0,5.06537151E+0,2.53268576E+0,
348.00,7.20510864E+0,9.60681152E+0,2.40170288E+0,0.00000000E+0,7.20510864E+0,4.80340576E+0,2.40170288E+0,4.80340576E+0,4.80340576E+0,0.00000000E+0,9.60681152E+0,2.40170288E+0,2.40170288E+0,0.00000000E+0,7.20510864E+0,2.40170288E+0,4.80340576E+0,9.60681152E+0,0.00000000E+0,4.80340576E+0,2.40170288E+0,2.40170288E+0,1.20085144E+1,9.60681152E+0,0.00000000E+0,4.80340576E+0,2.40170288E+0,7.20510864E+0,4.80340576E+0,2.40170288E+0,4.80340576E+0,0.00000000E+0,
349.00,4.57474995E+0,4.57474995E+0,2.28737497E+0,0.00000000E+0,6.86212492E+0,1.14368744E+1,0.00000000E+0,9.14949989E+0,0.00000000E+0,4.57474995E+0,0.00000000E+0,0.00000000E+0,0.00000000E+0,6.86212492E+0,4.57474995E+0,2.28737497E+0,2.28737497E+0,9.14949989E+0,2.28737497E+0,1.14368744E+1,6.86212492E+0,4.57474995E+0,2.28737497E+0,2.28737497E+0,9.14949989E+0,1.14368744E+1,2.28737497E+0,4.57474995E+0,1.60116253E+1,6.86212492E+0,0.00000000E+0,6.86212492E+0,
350.00,6.58437061E+0,4.38958073E+0,8.77916145E+0,2.19479036E+0,6.58437061E+0,2.19479036E+0,4.38958073E+0,6.58437061E+0,2.19479036E+0,4.38958073E+0,2.19479036E+0,4.38958073E+0,6.58437061E+0,0.00000000E+0,0.00000000E+0,8.77916145E+0,6.58437061E+0,4.38958073E+0,2.19479036E+0,4.38958073E+0,2.19479036E+0,6.58437061E+0,6.58437061E+0,2.19479036E+0,0.00000000E+0,6.58437061E+0,4.38958073E+0,6.58437061E+0,2.19479036E+0,8.77916145E+0,2.19479036E+0,1.53635321E+1,
351.00,2.11535954E+0,6.34607840E+0,4.23071909E+0,2.11535954E+0,8.46143818E+0,4.23071909E+0,4.23071909E+0,6.34607840E+0,1.26921568E+1,4.23071909E+0,6.34607840E+0,6.34607840E+0,2.11535954E+0,8.46143818E+0,4.23071909E+0,4.23071909E+0,1.26921568E+1,8.46143818E+0,8.46143818E+0,4.23071909E+0,8.46143818E+0,4.23071909E+0,8.46143818E+0,0.00000000E+0,2.11535954E+0,4.23071909E+0,4.23071909E+0,1.05767975E+1,4.23071909E+0,4.23071909E+0,4.23071909E+0,4.23071909E+0,
352.00,2.04881144E+0,4.09762287E+0,4.09762287E+0,6.14643431E+0,6.14643431E+0,2.04881144E+0,4.09762287E+0,4.09762287E+0,4.09762287E+0,4.09762287E+0,6.14643431E+0,2.04881144E+0,2.04881144E+0,6.14643431E+0,4.09762287E+0,4.09762287E+0,6.14643431E+0,2.04881144E+0,2.04881144E+0,8.19524574E+0,0.00000000E+0,6.14643431E+0,6.14643431E+0,4.09762287E+0,4.09762287E+0,2.04881144E+0,2.04881144E+0,2.04881144E+0,0.00000000E+0,8.19524574E+0,4.09762287E+0,0.00000000E+0,
353.00,3.98639607E+0,9.96599007E+0,1.99319804E+0,3.98639607E+0,0.00000000E+0,0.00000000E+0,3.98639607E+0,7.97279215E+0,1.99319804E+0,7.97279215E+0,7.97279215E+0,5.97959423E+0,3.98639607E+0,7.97279215E+0,3.98639607E+0,3.98639607E+0,1.99319804E+0,5.97959423E+0,5.97959423E+0,0.00000000E+0,5.97959423E+0,2.19251785E+1,1.99319804E+0,1.19591885E+1,0.00000000E+0,0.00000000E+0,7.97279215E+0,3.98639607E+0,5.97959423E+0,0.00000000E+0,1.99319804E+0,5.97959423E+0,
354.00,3.86422873E+0,1.93211436E+0,0.00000000E+0,3.86422873E+0,3.86422873E+0,3.86422873E+0,3.86422873E+0,1.93211436E+0,9.66057205E+0,5.79634333E+0,3.86422873E+0,3.86422873E+0,1.93211436E+0,3.86422873E+0,0.00000000E+0,5.79634333E+0,0.00000000E+0,0.00000000E+0,3.86422873E+0,5.79634333E+0,5.79634333E+0,7.72845745E+0,7.72845745E+0,1.93211436E+0,3.86422873E+0,3.86422873E+0,3.86422873E+0,1.93211436E+0,7.72845745E+0,3.86422873E+0,3.86422873E+0,0.00000000E+0,
355.00,1.86724496E+0,3.73448992E+0,1.86724496E+0,7.46897984E+0,3.73448992E+0,3.73448992E+0,9.33622456E+0,9.33622456E+0,3.73448992E+0,1.86724496E+0,1.86724496E+0,5.60173464E+0,5.60173464E+0,5.60173464E+0,3.73448992E+0,5.60173464E+0,1.12034693E+1,1.86724496E+0,7.46897984E+0,0.00000000E+0,7.46897984E+0,5.60173464E+0,0.00000000E+0,3.73448992E+0,1.86724496E+0,0.00000000E+0,9.33622456E+0,1.86724496E+0,7.46897984E+0,0.00000000E+0,7.46897984E+0,1.86724496E+0,
356.00,0.00000000E+0,5.42834663E+0,3.61889791E+0,0.00000000E+0,1.80944896E+0,1.08566933E+1,3.61889791E+0,7.23779583E+0,7.23779583E+0,7.23779583E+0,9.04724503E+0,5.42834663E+0,3.61889791E+0,1.80944896E+0,7.23779583E+0,3.61889791E+0,7.23779583E+0,7.23779583E+0,1.26661425E+1,1.80944896E+0,3.61889791E+0,7.23779583E+0,3.61889791E+0,3.61889791E+0,5.42834663E+0,1.80944896E+0,3.61889791E+0,3.61889791E+0,1.80944896E+0,1.80944896E+0,3.61889791E+0,1.80944896E+0,
357.00,0.00000000E+0,1.76105762E+0,3.52211523E+0,1.76105762E+0,3.52211523E+0,5.28317308E+0,7.04423046E+0,8.80528831E+0,8.80528831E+0,1.05663462E+1,1.76105762E+0,1.76105762E+0,5.28317308E+0,1.76105762E+0,3.52211523E+0,5.28317308E+0,0.00000000E+0,1.76105762E+0,3.52211523E+0,5.28317308E+0,1.76105762E+0,1.76105762E+0,3.52211523E+0,5.28317308E+0,0.00000000E+0,7.04423046E+0,3.52211523E+0,5.28317308E+0,3.52211523E+0,1.76105762E+0,0.00000000E+0,5.28317308E+0,
358.00,3.43869352E+0,5.15804052E+0,0.00000000E+0,0.00000000E+0,1.71934676E+0,1.71934676E+0,3.43869352E+0,3.43869352E+0,3.43869352E+0,6.87738705E+0,3.43869352E+0,5.15804052E+0,3.43869352E+0,8.59673405E+0,0.00000000E+0,1.03160810E+1,3.43869352E+0,6.87738705E+0,0.00000000E+0,5.15804052E+0,3.43869352E+0,3.43869352E+0,3.43869352E+0,3.43869352E+0,5.15804052E+0,1.03160810E+1,1.71934676E+0,5.15804052E+0,3.43869352E+0,6.87738705E+0,5.15804052E+0,6.87738705E+0,
359.00,3.35428452E+0,1.67714226E+0,1.67714226E+0,3.35428452E+0,1.67714226E+0,0.00000000E+0,1.67714226E+0,1.67714226E+0,1.67714226E+0,3.35428452E+0,3.35428452E+0,6.70856905E+0,0.00000000E+0,6.70856905E+0,3.35428452E+0,3.35428452E+0,3.35428452E+0,3.35428452E+0,6.70856905E+0,5.03142691E+0,1.67714226E+0,1.00628538E+1,0.00000000E+0,3.35428452E+0,1.67714226E+0,1.67714226E+0,0.00000000E+0,1.67714226E+0,6.70856905E+0,0.00000000E+0,0.00000000E+0,0.00000000E+0,
360.00,0.00000000E+0,0.00000000E+0,9.82950974E+0,9.82950974E+0,3.27650332E+0,1.63825166E+0,4.91475487E+0,0.00000000E+0,0.00000000E+0,3.27650332E+0,3.27650332E+0,3.27650332E+0,9.82950974E+0,0.00000000E+0,0.00000000E+0,0.00000000E+0,3.27650332E+0,4.91475487E+0,1.63825166E+0,1.63825166E+0,4.91475487E+0,1.63825166E+0,6.55300665E+0,3.27650332E+0,1.63825166E+0,4.91475487E+0,4.91475487E+0,3.27650332E+0,8.19125843E+0,4.91475487E+0,3.27650332E+0,3.27650332E+0,
361.00,1.60590315E+0,3.21180630E+0,3.21180630E+0,4.81770945E+0,0.00000000E+0,6.42361259E+0,0.00000000E+0,0.00000000E+0,6.42361259E+0,4.81770945E+0,9.63541889E+0,3.21180630E+0,1.60590315E+0,3.21180630E+0,0.00000000E+0,3.21180630E+0,9.63541889E+0,4.81770945E+0,3.21180630E+0,4.81770945E+0,1.60590315E+0,1.60590315E+0,1.60590315E+0,6.42361259E+0,1.28472252E+1,3.21180630E+0,1.60590315E+0,0.00000000E+0,3.21180630E+0,8.02951622E+0,1.60590315E+0,4.81770945E+0,
362.00,6.34134388E+0,1.58533597E+0,4.75600815E+0,1.58533597E+0,0.00000000E+0,1.58533597E+0,3.17067194E+0,7.92668009E+0,1.58533597E+0,3.17067194E+0,1.58533597E+0,1.58533597E+0,7.92668009E+0,1.58533597E+0,3.17067194E+0,1.58533597E+0,0.00000000E+0,1.58533597E+0,1.58533597E+0,3.17067194E+0,6.34134388E+0,4.75600815E+0,1.58533597E+0,3.17067194E+0,0.00000000E+0,0.00000000E+0,7.92668009E+0,3.17067194E+0,4.75600815E+0,3.17067194E+0,4.75600815E+0,3.17067194E+0,
363.00,4.69049931E+0,1.56349981E+0,1.56349981E+0,1.56349981E+0,3.12699962E+0,3.12699962E+0,1.56349981E+0,4.69049931E+0,1.56349981E+0,0.00000000E+0,3.12699962E+0,3.12699962E+0,1.56349981E+0,0.00000000E+0,4.69049931E+0,3.12699962E+0,3.12699962E+0,1.56349981E+0,3.12699962E+0,0.00000000E+0,1.56349981E+0,7.81749916E+0,3.12699962E+0,3.12699962E+0,4.69049931E+0,3.12699962E+0,3.12699962E+0,0.00000000E+0,7.81749916E+0,1.56349981E+0,9.38099861E+0,3.12699962E+0,
364.00,1.53452790E+0,3.06905580E+0,7.67263937E+0,4.60358381E+0,6.13811159E+0,0.00000000E+0,4.60358381E+0,3.06905580E+0,3.06905580E+0,1.53452790E+0,1.53452790E+0,3.06905580E+0,3.06905580E+0,3.06905580E+0,1.53452790E+0,1.53452790E+0,6.13811159E+0,1.53452790E+0,6.13811159E+0,0.00000000E+0,4.60358381E+0,3.06905580E+0,1.53452790E+0,7.67263937E+0,3.06905580E+0,3.06905580E+0,3.06905580E+0,3.06905580E+0,6.13811159E+0,7.67263937E+0,7.67263937E+0,0.00000000E+0,
365.00,0.00000000E+0,4.50223827E+0,3.00149226E+0,1.50074613E+0,0.00000000E+0,4.50223827E+0,3.00149226E+0,3.00149226E+0,3.00149226E+0,0.00000000E+0,0.00000000E+0,3.00149226E+0,0.00000000E+0,1.50074613E+0,6.00298452E+0,0.00000000E+0,6.00298452E+0,4.50223827E+0,1.50074613E+0,3.00149226E+0,3.00149226E+0,1.50074613E+0,1.50074613E+0,4.50223827E+0,4.50223827E+0,3.00149226E+0,9.00447655E+0,3.00149226E+0,6.00298452E+0,4.50223827E+0,7.50373077E+0,0.00000000E+0,
366.00,2.93111897E+0,5.86223793E+0,4.39667845E+0,8.79335690E+0,4.39667845E+0,5.86223793E+0,1.46555948E+0,5.86223793E+0,2.93111897E+0,1.46555948E+0,2.93111897E+0,1.46555948E+0,2.93111897E+0,4.39667845E+0,1.46555948E+0,1.46555948E+0,4.39667845E+0,1.46555948E+0,2.93111897E+0,2.93111897E+0,4.39667845E+0,4.39667845E+0,4.39667845E+0,4.39667845E+0,1.46555948E+0,2.93111897E+0,1.46555948E+0,1.46555948E+0,1.46555948E+0,2.93111897E+0,2.93111897E+0,1.46555948E+0,
367.00,4.31003237E+0,8.62006474E+0,1.43667746E+0,7.18338728E+0,5.74670982E+0,0.00000000E+0,5.74670982E+0,2.87335491E+0,2.87335491E+0,2.87335491E+0,0.00000000E+0,0.00000000E+0,4.31003237E+0,4.31003237E+0,5.74670982E+0,0.00000000E+0,5.74670982E+0,4.31003237E+0,1.43667746E+0,7.18338728E+0,4.31003237E+0,0.00000000E+0,0.00000000E+0,8.62006474E+0,2.87335491E+0,1.43667746E+0,1.00567417E+1,4.31003237E+0,1.43667746E+0,5.74670982E+0,0.00000000E+0,8.62006474E+0,
368.00,4.23552132E+0,1.41184044E+0,1.41184044E+0,5.64736176E+0,0.00000000E+0,5.64736176E+0,1.41184044E+0,7.05920219E+0,2.82368088E+0,0.00000000E+0,7.05920219E+0,9.88288307E+0,0.00000000E+0,2.82368088E+0,1.41184044E+0,2.82368088E+0,2.82368088E+0,7.05920219E+0,7.05920219E+0,1.41184044E+0,2.82368088E+0,5.64736176E+0,2.82368088E+0,4.23552132E+0,1.41184044E+0,1.41184044E+0,4.23552132E+0,4.23552132E+0,2.82368088E+0,2.82368088E+0,8.47104263E+0,1.41184044E+0,
369.00,1.39156175E+0,4.17468548E+0,2.78312349E+0,4.17468548E+0,5.56624699E+0,6.95780897E+0,2.78312349E+0,1.39156175E+0,2.78312349E+0,0.00000000E+0,1.39156175E+0,6.95780897E+0,4.17468548E+0,0.00000000E+0,6.95780897E+0,0.00000000E+0,6.95780897E+0,2.78312349E+0,0.00000000E+0,1.39156175E+0,1.39156175E+0,5.56624699E+0,1.39156175E+0,1.39156175E+0,4.17468548E+0,0.00000000E+0,9.74093246E+0,2.78312349E+0,2.78312349E+0,0.00000000E+0,5.56624699E+0,6.95780897E+0,
370.00,5.48969507E+0,4.11727142E+0,5.48969507E+0,2.74484754E+0,5.48969507E+0,2.74484754E+0,1.37242377E+0,0.00000000E+0,0.00000000E+0,4.11727142E+0,4.11727142E+0,9.60696602E+0,0.00000000E+0,2.74484754E+0,1.37242377E+0,2.74484754E+0,6.86211872E+0,2.74484754E+0,1.37242377E+0,9.60696602E+0,2.74484754E+0,2.74484754E+0,1.37242377E+0,2.74484754E+0,8.23454285E+0,6.86211872E+0,4.11727142E+0,2.74484754E+0,8.23454285E+0,5.48969507E+0,6.86211872E+0,2.74484754E+0,
371.00,1.35391307E+0,2.70782614E+0,1.35391307E+0,2.70782614E+0,4.06173944E+0,4.06173944E+0,2.70782614E+0,2.70782614E+0,0.00000000E+0,2.70782614E+0,1.35391307E+0,0.00000000E+0,0.00000000E+0,1.35391307E+0,1.08313046E+1,0.00000000E+0,6.76956558E+0,1.21852179E+1,5.41565228E+0,2.70782614E+0,4.06173944E+0,2.70782614E+0,0.00000000E+0,4.06173944E+0,0.00000000E+0,1.35391307E+0,1.35391307E+0,2.70782614E+0,5.41565228E+0,6.76956558E+0,1.35391307E+0,0.00000000E+0,
372.00,1.33713782E+0,1.33713782E+0,1.33713782E+0,1.33713782E+0,2.67427564E+0,4.01141310E+0,0.00000000E+0,5.34855127E+0,8.02282619E+0,2.67427564E+0,1.33713782E+0,1.33713782E+0,4.01141310E+0,4.01141310E+0,2.67427564E+0,9.35996437E+0,6.68568897E+0,0.00000000E+0,5.34855127E+0,2.67427564E+0,4.01141310E+0,1.33713782E+0,2.67427564E+0,2.67427564E+0,0.00000000E+0,1.33713782E+0,2.67427564E+0,1.33713782E+0,1.33713782E+0,2.67427564E+0,2.67427564E+0,2.67427564E+0,
373.00,3.96591282E+0,1.32197094E+0,5.28788376E+0,3.96591282E+0,2.64394188E+0,1.32197094E+0,6.60985470E+0,7.93182564E+0,3.96591282E+0,5.28788376E+0,3.96591282E+0,2.64394188E+0,3.96591282E+0,2.64394188E+0,1.32197094E+0,2.64394188E+0,1.32197094E+0,3.96591282E+0,1.32197094E+0,3.96591282E+0,2.64394188E+0,2.64394188E+0,3.96591282E+0,1.32197094E+0,2.64394188E+0,1.18977385E+1,5.28788376E+0,6.60985470E+0,2.64394188E+0,1.32197094E+0,5.28788376E+0,5.28788376E+0,
374.00,2.61125898E+0,1.30562949E+0,7.83377695E+0,2.61125898E+0,2.61125898E+0,1.30562949E+0,1.30562949E+0,5.22251797E+0,0.00000000E+0,2.61125898E+0,5.22251797E+0,5.22251797E+0,2.61125898E+0,3.91688848E+0,2.61125898E+0,1.30562949E+0,1.30562949E+0,7.83377695E+0,5.22251797E+0,9.13940620E+0,1.30562949E+0,3.91688848E+0,2.61125898E+0,1.30562949E+0,0.00000000E+0,6.52814722E+0,0.00000000E+0,0.00000000E+0,2.61125898E+0,3.91688848E+0,3.91688848E+0,5.22251797E+0,
375.00,5.16020060E+0,1.29005015E+0,5.16020060E+0,2.58010030E+0,5.16020060E+0,3.87015057E+0,3.87015057E+0,1.29005015E+0,1.29005015E+0,1.29005015E+0,1.29005015E+0,2.58010030E+0,0.00000000E+0,1.29005015E+0,1.29005015E+0,3.87015057E+0,6.45025063E+0,2.58010030E+0,2.58010030E+0,1.29005015E+0,1.29005015E+0,0.00000000E+0,7.74030113E+0,1.29005015E+0,2.58010030E+0,0.00000000E+0,0.00000000E+0,1.29005015E+0,1.29005015E+0,2.58010030E+0,1.29005015E+0,6.45025063E+0,
376.00,1.27635610E+0,2.55271220E+0,1.27635610E+0,7.65813684E+0,7.65813684E+0,2.55271220E+0,3.82906842E+0,2.55271220E+0,3.82906842E+0,1.27635610E+0,3.82906842E+0,5.10542440E+0,0.00000000E+0,2.55271220E+0,2.55271220E+0,7.65813684E+0,2.55271220E+0,3.82906842E+0,2.55271220E+0,8.93449306E+0,0.00000000E+0,2.55271220E+0,2.55271220E+0,2.55271220E+0,3.82906842E+0,3.82906842E+0,5.10542440E+0,2.55271220E+0,1.27635610E+0,6.38178062E+0,1.27635610E+0,2.55271220E+0,
377.00,2.52948618E+0,1.26474309E+0,1.26474309E+0,0.00000000E+0,2.52948618E+0,3.79422927E+0,0.00000000E+0,2.52948618E+0,3.79422927E+0,2.52948618E+0,5.05897236E+0,3.79422927E+0,1.26474309E+0,3.79422927E+0,2.52948618E+0,1.26474309E+0,1.26474309E+0,0.00000000E+0,3.79422927E+0,2.52948618E+0,2.52948618E+0,1.26474309E+0,1.26474309E+0,6.32371569E+0,0.00000000E+0,1.01179447E+1,0.00000000E+0,1.26474309E+0,1.26474309E+0,3.79422927E+0,1.26474309E+0,2.52948618E+0,
378.00,1.25285268E+0,3.75855803E+0,7.51711607E+0,3.75855803E+0,0.00000000E+0,5.01141071E+0,6.26426363E+0,7.51711607E+0,1.25285268E+0,8.76996899E+0,5.01141071E+0,8.76996899E+0,3.75855803E+0,5.01141071E+0,0.00000000E+0,3.75855803E+0,3.75855803E+0,2.50570536E+0,3.75855803E+0,1.25285268E+0,6.26426363E+0,3.75855803E+0,3.75855803E+0,3.75855803E+0,1.25285268E+0,5.01141071E+0,2.50570536E+0,2.50570536E+0,1.25285268E+0,1.25285268E+0,3.75855803E+0,0.00000000E+0,
379.00,2.47995353E+0,2.47995353E+0,2.47995353E+0,4.95990705E+0,2.47995353E+0,2.47995353E+0,2.47995353E+0,1.23997676E+0,8.67983723E+0,7.43986034E+0,6.19988346E+0,6.19988346E+0,4.95990705E+0,8.67983723E+0,2.47995353E+0,7.43986034E+0,1.23997676E+0,2.47995353E+0,7.43986034E+0,9.91981411E+0,9.91981411E+0,1.23997676E+0,3.71993017E+0,1.23997676E+0,2.47995353E+0,3.71993017E+0,3.71993017E+0,3.71993017E+0,1.23997676E+0,2.47995353E+0,0.00000000E+0,4.95990705E+0,
380.00,2.45293617E+0,2.45293617E+0,7.35880852E+0,8.58527660E+0,7.35880852E+0,7.35880852E+0,7.35880852E+0,7.35880852E+0,2.45293617E+0,6.13234043E+0,1.10382128E+1,4.90587234E+0,3.67940426E+0,7.35880852E+0,6.13234043E+0,4.90587234E+0,7.35880852E+0,4.90587234E+0,2.45293617E+0,4.90587234E+0,2.45293617E+0,3.67940426E+0,3.67940426E+0,8.58527660E+0,1.22646809E+0,2.45293617E+0,2.45293617E+0,2.45293617E+0,2.45293617E+0,0.00000000E+0,2.45293617E+0,3.67940426E+0,
381.00,1.70477486E+1,2.07008381E+1,4.01839790E+1,5.35786400E+1,5.96671219E+1,6.69732971E+1,6.69732971E+1,3.65308914E+1,6.94086914E+1,4.99255524E+1,4.87078552E+1,3.16601048E+1,3.40954971E+1,4.62724609E+1,3.16601048E+1,1.94831429E+1,1.94831429E+1,2.19185352E+1,1.46123562E+1,9.74157143E+0,1.33946600E+1,3.65308905E+0,6.08848190E+0,2.43539286E+0,3.65308905E+0,2.43539286E+0,4.87078571E+0,1.21769643E+0,1.21769643E+0,3.65308905E+0,2.43539286E+0,3.65308905E+0,
382.00,4.84783936E+0,9.69567871E+0,1.09076385E+1,1.09076385E+1,1.21195984E+1,1.45435181E+1,2.06033173E+1,1.21195984E+1,1.93913574E+1,2.18152771E+1,1.45435181E+1,1.45435181E+1,1.33315582E+1,9.69567871E+0,1.33315582E+1,1.45435181E+1,1.81793976E+1,3.63587952E+0,1.21195984E+0,6.05979919E+0,2.42391968E+0,6.05979919E+0,1.21195984E+0,2.42391968E+0,1.21195984E+0,1.21195984E+0,2.42391968E+0,2.42391968E+0,1.21195984E+0,1.21195984E+0,2.42391968E+0,1.21195984E+0,
383.00,3.62091255E+0,1.68975925E+1,1.81045628E+1,1.81045628E+1,2.17254753E+1,1.20697088E+1,2.41394176E+1,1.56906214E+1,1.08627377E+1,1.32766790E+1,2.05185051E+1,2.41394176E+1,1.68975925E+1,1.32766790E+1,9.65576649E+0,1.56906214E+1,3.62091255E+0,3.62091255E+0,8.44879627E+0,7.24182510E+0,6.03485441E+0,1.20697081E+0,0.00000000E+0,2.41394162E+0,0.00000000E+0,6.03485441E+0,1.20697081E+0,2.41394162E+0,2.41394162E+0,1.20697081E+0,0.00000000E+0,3.62091255E+0,
384.00,7.79575043E+1,1.10339859E+2,1.01944435E+2,1.31928085E+2,1.37924820E+2,1.13937897E+2,1.19934624E+2,9.47483521E+1,8.15555496E+1,7.31601257E+1,6.83627396E+1,5.75686226E+1,5.27712364E+1,4.31764641E+1,3.83790817E+1,2.75849648E+1,2.15882320E+1,1.43921556E+1,1.67908478E+1,8.39542389E+0,3.59803891E+0,4.79738522E+0,3.59803891E+0,8.39542389E+0,8.39542389E+0,0.00000000E+0,4.79738522E+0,3.59803891E+0,1.19934630E+0,1.19934630E+0,5.99673128E+0,3.59803891E+0,
385.00,1.30639734E+1,5.93816996E+0,1.06887054E+1,1.18763399E+1,1.66268749E+1,2.13774109E+1,1.42516079E+1,1.54392414E+1,1.18763399E+1,9.50107193E+0,7.12580395E+0,1.90021439E+1,5.93816996E+0,1.06887054E+1,5.93816996E+0,5.93816996E+0,3.56290197E+0,1.30639734E+1,3.56290197E+0,5.93816996E+0,1.18763399E+0,3.56290197E+0,8.31343746E+0,2.37526798E+0,2.37526798E+0,2.37526798E+0,2.37526798E+0,5.93816996E+0,4.75053596E+0,1.18763399E+0,5.93816996E+0,0.00000000E+0,
386.00,1.40996952E+1,3.17243156E+1,3.75991898E+1,3.64242134E+1,3.52492371E+1,3.52492371E+1,2.11495438E+1,3.28992882E+1,1.40996952E+1,2.58494415E+1,1.87995949E+1,1.64496441E+1,1.05747719E+1,1.17497463E+1,8.22482204E+0,8.22482204E+0,9.39979744E+0,7.04984760E+0,8.22482204E+0,1.17497468E+0,4.69989872E+0,0.00000000E+0,2.34994936E+0,4.69989872E+0,3.52492380E+0,3.52492380E+0,0.00000000E+0,3.52492380E+0,3.52492380E+0,5.87487316E+0,1.17497468E+0,3.52492380E+0,
387.00,6.50698166E+1,9.41188431E+1,8.24992294E+1,1.02252571E+2,9.41188431E+1,9.06329575E+1,6.73937378E+1,8.36611938E+1,4.99643250E+1,5.69360886E+1,4.88023643E+1,2.90490265E+1,1.74294147E+1,2.67251034E+1,1.62674541E+1,1.04576492E+1,1.85913773E+1,1.16196098E+1,3.48588300E+0,5.80980492E+0,5.80980492E+0,3.48588300E+0,9.29568863E+0,5.80980492E+0,3.48588300E+0,1.16196108E+0,4.64784431E+0,1.16196108E+0,4.64784431E+0,4.64784431E+0,4.64784431E+0,3.48588300E+0,
388.00,8.05812931E+0,1.26627750E+1,1.26627750E+1,1.38139362E+1,1.49650984E+1,8.05812931E+0,1.26627750E+1,1.49650984E+1,6.90696812E+0,5.75580692E+0,1.61162586E+1,6.90696812E+0,1.26627750E+1,8.05812931E+0,1.15116138E+1,3.45348406E+0,9.20929146E+0,3.45348406E+0,3.45348406E+0,2.30232286E+0,2.30232286E+0,3.45348406E+0,1.15116143E+0,3.45348406E+0,6.90696812E+0,2.30232286E+0,3.45348406E+0,2.30232286E+0,2.30232286E+0,3.45348406E+0,2.30232286E+0,1.15116143E+0,
389.00,1.02672033E+1,1.25488043E+1,3.42240119E+0,1.71120052E+1,1.02672033E+1,1.48304052E+1,9.12640285E+0,5.70400190E+0,5.70400190E+0,7.98560238E+0,1.14080036E+0,1.25488043E+1,6.84480238E+0,3.42240119E+0,3.42240119E+0,4.56320143E+0,6.84480238E+0,2.28160071E+0,4.56320143E+0,1.14080036E+0,3.42240119E+0,0.00000000E+0,4.56320143E+0,1.14080036E+0,4.56320143E+0,1.14080036E+0,3.42240119E+0,3.42240119E+0,3.42240119E+0,4.56320143E+0,0.00000000E+0,4.56320143E+0,
390.00,3.39826393E+0,4.53101826E+0,5.66377306E+0,1.01947918E+1,1.24603004E+1,1.13275456E+0,4.53101826E+0,7.92928219E+0,6.79652786E+0,1.13275456E+0,7.92928219E+0,2.26550913E+0,3.39826393E+0,2.26550913E+0,6.79652786E+0,1.13275456E+0,2.26550913E+0,3.39826393E+0,3.39826393E+0,3.39826393E+0,4.53101826E+0,0.00000000E+0,3.39826393E+0,4.53101826E+0,9.06203651E+0,5.66377306E+0,9.06203651E+0,2.26550913E+0,2.26550913E+0,2.26550913E+0,2.26550913E+0,7.92928219E+0,
